City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Imbituba,BR,-28.24,-48.6703,69.69,76,48,7.61,scattered clouds
1,Atuona,PF,-9.8,-139.0333,79.34,69,18,14.18,few clouds
2,Rikitea,PF,-23.1203,-134.9692,76.1,81,69,12.8,broken clouds
3,Bluff,NZ,-46.6,168.3333,49.8,70,78,4.74,broken clouds
4,Marawi,PH,7.9986,124.2928,74.64,83,98,4.54,light rain
5,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,77.41,71,94,1.07,overcast clouds
6,Ostersund,SE,63.1792,14.6357,57.65,58,57,3.44,broken clouds
7,Madimba,TZ,-10.4,40.3333,70.36,71,81,15.3,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,47.52,81,0,5.14,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,0,9.22,clear sky
10,Mar Del Plata,AR,-38.0023,-57.5575,48.13,57,0,7.0,clear sky
11,Caravelas,BR,-17.7125,-39.2481,71.67,92,7,6.24,clear sky
12,Nelson Bay,AU,-32.7167,152.15,63.77,54,0,1.99,clear sky
13,Barcelona,ES,41.3888,2.159,71.33,71,20,3.0,few clouds
14,Mount Gambier,AU,-37.8333,140.7667,60.71,88,75,17.27,light rain
15,Cape Town,ZA,-33.9258,18.4232,62.11,66,0,6.85,clear sky
16,Qaanaaq,GL,77.484,-69.3632,34.88,71,80,6.82,broken clouds
17,Nouadhibou,MR,20.931,-17.0347,67.98,73,29,19.57,scattered clouds
18,Yellowknife,CA,62.456,-114.3525,61.32,51,75,3.0,broken clouds
19,Christchurch,NZ,-43.5333,172.6333,52.92,88,90,3.0,overcast clouds
20,Pisco,PE,-13.7,-76.2167,64.45,77,90,4.61,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,55.29,69,100,3.0,overcast clouds
22,Rafaela,AR,-31.2503,-61.4867,53.06,67,0,1.99,clear sky
23,Bilma,NE,18.6853,12.9164,90.77,17,100,8.66,overcast clouds
24,Port Blair,IN,11.6667,92.75,84.24,89,75,9.22,light rain
